10/01/2024 : 06:43 :   ****** DOWNLOAD ******

10/01/2024 : 06:43 :   **** Set up ****
10/01/2024 : 06:43 :   Download event Id is 102261
10/01/2024 : 06:43 :   
10/01/2024 : 06:43 :   Source_id is 100120
10/01/2024 : 06:43 :   Type_id is 111
10/01/2024 : 06:43 :   Cutoff date is 2020-09-23
10/01/2024 : 06:43 :   Calling ObtainDataFromSourceAsync...
10/01/2024 : 07:44 :   86500 files processed, 52 added, after 3460 calls 
10/01/2024 : 07:44 :   86750 files processed, 52 added, after 3470 calls 
10/01/2024 : 07:44 :   87000 files processed, 52 added, after 3480 calls 
10/01/2024 : 07:45 :   87250 files processed, 52 added, after 3490 calls 
10/01/2024 : 07:45 :   87500 files processed, 52 added, after 3500 calls 
10/01/2024 : 07:45 :   87750 files processed, 52 added, after 3510 calls 
10/01/2024 : 07:45 :   88000 files processed, 52 added, after 3520 calls 
10/01/2024 : 07:45 :   88250 files processed, 52 added, after 3530 calls 
10/01/2024 : 07:45 :   88500 files processed, 52 added, after 3540 calls 
10/01/2024 : 07:46 :   88750 files processed, 52 added, after 3550 calls 
10/01/2024 : 07:46 :   89000 files processed, 52 added, after 3560 calls 
10/01/2024 : 07:46 :   89250 files processed, 53 added, after 3570 calls 
10/01/2024 : 07:46 :   89500 files processed, 53 added, after 3580 calls 
10/01/2024 : 07:46 :   89750 files processed, 53 added, after 3590 calls 
10/01/2024 : 07:46 :   90000 files processed, 53 added, after 3600 calls  (out of 10520)
10/01/2024 : 07:47 :   90250 files processed, 53 added, after 3610 calls 
10/01/2024 : 07:47 :   90500 files processed, 53 added, after 3620 calls 
10/01/2024 : 07:47 :   90750 files processed, 53 added, after 3630 calls 
10/01/2024 : 07:47 :   91000 files processed, 53 added, after 3640 calls 
10/01/2024 : 07:47 :   91250 files processed, 54 added, after 3650 calls 
